date,steps,goal,,
4/25/2014,9936,4994,,
4/26/2014,7465,5294,,
4/27/2014,9437,5610,,
4/28/2014,8368,5946,,
4/29/2014,10254,6302,,
4/30/2014,8776,6680,,
5/1/2014,10670,7080,,
5/2/2014,8294,7504,,
5/3/2014,7260,7622,,
5/4/2014,8012,7604,,
5/5/2014,10388,7664,,
5/6/2014,8656,7970,,
5/7/2014,9297,8072,,
5/8/2014,7743,8256,,
5/9/2014,13197,8230,,
5/10/2014,8873,8558,,
5/11/2014,8788,8606,,
5/12/2014,9049,8648,,
5/13/2014,12957,8708,,
5/14/2014,9318,9056,,
5/15/2014,9715,9102,,
5/16/2014,9550,9192,,
5/17/2014,10613,9246,,
5/18/2014,9396,9450,,
5/19/2014,10191,9448,,
5/20/2014,10370,9558,,
5/21/2014,10732,9680,,
5/22/2014,12470,9836,,
5/23/2014,10372,10230,,
5/24/2014,12618,10236,,
5/25/2014,10464,10356,,
5/26/2014,7523,10360,,
5/27/2014,9362,10219,,
5/28/2014,10307,9919,,
5/29/2014,10566,9977,,
5/30/2014,9649,10065,,
5/31/2014,10723,10044,,
6/1/2014,10382,10077,,
6/2/2014,9291,10092,,
6/3/2014,10970,10051,,
6/4/2014,10902,10096,,
6/5/2014,8418,10136,,
6/6/2014,12036,10050,,
6/7/2014,10672,10149,,
6/8/2014,8423,10175,,
6/9/2014,10099,10087,,
6/10/2014,10651,10088,,
6/11/2014,10215,10116,,
6/12/2014,10377,10120,,
6/13/2014,8763,10132,,
6/14/2014,12283,10063,,
6/15/2014,10652,10174,,
6/16/2014,11587,10197,,
6/17/2014,14688,10266,,
6/18/2014,10035,10471,,
6/19/2014,13311,10449,,
6/20/2014,10655,10592,,
6/21/2014,10831,10595,,
6/22/2014,7912,10606,,
6/23/2014,9132,10471,,
6/24/2014,12770,10002,,
6/25/2014,7959,10140,,
6/26/2014,8617,10030,,
6/27/2014,7064,9535,,
6/28/2014,7940,9058,,
6/29/2014,9066,8666,,
6/30/2014,8818,8726,,
7/1/2014,10710,8769,,
7/2/2014,9862,9060,,
7/3/2014,5974,9180,,
7/4/2014,10349,9019,,
7/5/2014,9545,9218,,
7/6/2014,11482,9267,,
7/7/2014,8627,9599,,
7/8/2014,5987,9550,,
7/9/2014,7515,9072,,
7/10/2014,7982,8618,,
7/11/2014,6700,8395,,
7/12/2014,7764,7975,,
7/13/2014,6435,7901,,
7/14/2014,6774,7505,,
7/15/2014,7499,7249,,
7/16/2014,10008,7311,,
7/17/2014,7747,7749,,
7/18/2014,12162,7748,,
7/19/2014,7346,8057,,
7/20/2014,7252,8021,,
7/21/2014,9156,7751,,
7/22/2014,7584,7961,,
7/23/2014,7577,7942,,
7/24/2014,7797,7814,,
7/25/2014,7923,7808,,
7/26/2014,5463,7847,,
7/27/2014,7052,7727,,
7/28/2014,8205,7490,,
7/29/2014,9594,7668,,
7/30/2014,7293,7956,,
7/31/2014,6243,7922,,
8/1/2014,8293,7525,,
8/2/2014,6439,7640,,
8/3/2014,5985,7579,,
8/4/2014,7594,7200,,
8/5/2014,8370,7298,,
8/6/2014,7891,7566,,
8/7/2014,8216,7614,,
8/8/2014,10984,7704,,
8/9/2014,6849,8012,,
8/10/2014,6013,7953,,
8/11/2014,9343,7555,,
8/12/2014,6767,7823,,
8/13/2014,6996,7770,,
8/14/2014,7175,7499,,
8/15/2014,6430,7385,,
8/16/2014,6358,7050,,
8/17/2014,7244,6807,,
8/18/2014,8766,6916,,
8/19/2014,7282,7330,,
8/20/2014,6511,7327,,
8/21/2014,8758,7041,,
8/22/2014,6668,7463,,
8/23/2014,6373,7423,,
8/24/2014,9459,7055,,
8/25/2014,5484,7478,,
8/26/2014,6829,7378,,
8/27/2014,7123,7185,,
8/28/2014,9170,7163,,
8/29/2014,8265,7592,,
8/30/2014,6222,7692,,
8/31/2014,5585,7618,,
9/1/2014,7532,7237,,
9/2/2014,6497,7310,,
9/3/2014,6664,7269,,
9/4/2014,5870,7057,,
9/5/2014,7086,6704,,
9/6/2014,5991,6799,,
9/7/2014,7794,6758,,
9/8/2014,7807,7017,,
9/9/2014,5155,7214,,
9/10/2014,6095,7111,,
9/11/2014,5916,6755,,
9/12/2014,5134,6461,,
9/13/2014,4805,6137,,
9/14/2014,8127,5830,,
9/15/2014,6914,6179,,
9/16/2014,7918,6362,,
9/17/2014,8562,6743,,
9/18/2014,6671,7147,,
9/19/2014,6653,7123,,
9/20/2014,12685,6958,,
9/21/2014,7085,7375,,
9/22/2014,7505,7360,,
9/23/2014,9164,7396,,
9/24/2014,8432,7838,,
9/25/2014,8604,7927,,
9/26/2014,7858,8028,,
9/27/2014,4499,8019,,
9/28/2014,6532,7618,,
9/29/2014,7607,7237,,
9/30/2014,8349,7329,,
10/1/2014,7816,7584,,
10/2/2014,9167,7621,,
10/3/2014,8944,7852,,
10/4/2014,5424,8015,,
10/5/2014,6464,7885,,
10/6/2014,9215,7490,,
10/7/2014,6867,7921,,
10/8/2014,6004,7868,,
10/9/2014,9774,7474,,
10/10/2014,8379,7922,,
10/11/2014,5363,7990,,
10/12/2014,7043,7858,,
10/13/2014,7096,7572,,
10/14/2014,7813,7405,,
10/15/2014,6841,7507,,
10/16/2014,7504,7473,,
10/17/2014,6243,7510,,
10/18/2014,6529,7446,,
10/19/2014,8387,7125,,
10/20/2014,8399,7440,,
10/21/2014,6759,7679,,
10/22/2014,8542,7633,,
10/23/2014,6199,7769,,
10/24/2014,7753,7690,,
10/25/2014,3840,7728,,
10/26/2014,7106,7533,,
10/27/2014,6343,7383,,
10/28/2014,7600,7019,,
10/29/2014,6354,7164,,
10/30/2014,4706,7123,,
10/31/2014,2340,6766,,
11/1/2014,8079,6427,,
11/2/2014,2541,6812,,
11/3/2014,3216,6598,,
11/4/2014,9199,6268,,
11/5/2014,7198,6644,,
11/6/2014,7666,6782,,
11/7/2014,6845,7003,,
11/8/2014,6295,6995,,
11/9/2014,6167,6750,,
11/10/2014,6586,6545,,
11/11/2014,5851,6577,,
11/12/2014,8576,6540,,
11/13/2014,11482,6932,,
11/14/2014,4719,7347,,
11/15/2014,6532,7215,,
11/16/2014,8531,6975,,
11/17/2014,8048,7364,,
11/18/2014,7179,7535,,
11/19/2014,8164,7517,,
11/20/2014,11909,7614,,
11/21/2014,9598,7918,,
11/22/2014,10141,8170,,
11/23/2014,9880,8465,,
11/24/2014,7066,8677,,
11/25/2014,8962,8596,,
11/26/2014,8643,8650,,
11/27/2014,5670,8649,,
11/28/2014,7269,8216,,
11/29/2014,4717,7884,,
11/30/2014,6014,7489,,
12/1/2014,18360,7114,,
12/2/2014,7010,7540,,
12/3/2014,6414,7513,,
12/4/2014,7405,7137,,
12/5/2014,6641,7204,,
12/6/2014,8011,7175,,
12/7/2014,4970,7384,,
12/8/2014,6538,7263,,
12/9/2014,9386,7009,,
12/10/2014,11709,7429,,
12/11/2014,4126,7874,,
12/12/2014,7580,7686,,
12/13/2014,6347,7648,,
12/14/2014,8297,7265,,
12/15/2014,13416,7523,,
12/16/2014,6503,7823,,
12/17/2014,5313,7757,,
12/18/2014,5204,7369,,
12/19/2014,4887,7000,,
12/20/2014,4250,6650,,
12/21/2014,4340,6317,,
12/22/2014,6656,6001,,
12/23/2014,6406,6164,,
12/24/2014,4755,6224,,
12/25/2014,6748,6150,,
12/26/2014,5813,6299,,
12/27/2014,4070,6274,,
12/28/2014,5644,5960,,
