,AA,AAPL,GE,IBM,JNJ,MSFT,PEP,SPX,XOM
2007-10-29 00:00:00,37.41,185.09,34.46,106.78,57.13,31.78,65.67,1540.98,85.51
2007-10-30 00:00:00,36.43,187.0,34.39,106.15,56.99,32.7,65.8,1531.02,83.25
2007-10-31 00:00:00,36.79,189.95,34.97,108.01,57.3,33.84,65.69,1549.38,84.03
2007-11-01 00:00:00,35.22,187.44,34.27,105.72,56.85,34.07,64.51,1508.44,80.84
2007-11-02 00:00:00,35.83,187.87,34.27,106.59,56.95,34.07,65.03,1509.65,80.32
2007-11-05 00:00:00,35.22,186.18,34.15,105.48,56.7,33.77,64.84,1502.17,80.07
2007-11-06 00:00:00,35.84,191.79,34.14,105.27,56.8,33.47,65.49,1520.27,82.56
2007-11-07 00:00:00,34.76,186.3,33.2,103.69,56.19,32.65,64.46,1475.62,79.96
2007-11-08 00:00:00,35.0,175.47,33.15,99.05,56.79,31.94,65.5,1474.77,82.0
2007-11-09 00:00:00,34.47,165.37,32.61,93.58,57.29,31.01,65.48,1453.7,79.64
2007-11-12 00:00:00,33.33,153.76,32.5,94.7,58.3,30.69,64.67,1439.18,77.52
2007-11-13 00:00:00,34.04,169.96,33.31,98.27,59.18,31.79,65.35,1481.05,79.67
2007-11-14 00:00:00,34.25,166.11,33.14,96.56,58.81,31.3,65.99,1470.58,79.15
2007-11-15 00:00:00,33.76,164.3,32.55,96.71,58.8,31.14,65.57,1451.15,77.48
2007-11-16 00:00:00,33.74,166.39,32.84,97.82,59.56,31.44,66.08,1458.74,78.04
2007-11-19 00:00:00,32.59,163.95,32.42,95.42,59.42,31.32,66.9,1433.27,77.13
2007-11-20 00:00:00,32.88,168.85,32.32,96.54,59.47,31.9,66.69,1439.7,80.53
2007-11-21 00:00:00,32.68,168.46,31.58,95.42,59.03,31.57,66.87,1416.77,79.82
2007-11-23 00:00:00,32.66,171.54,32.01,97.13,59.16,31.46,67.29,1440.7,80.96
2007-11-26 00:00:00,32.41,172.54,31.21,95.19,59.6,30.41,66.56,1407.22,78.57
2007-11-27 00:00:00,32.56,174.81,31.82,96.92,59.92,30.49,67.65,1428.23,79.21
2007-11-28 00:00:00,33.65,180.22,32.68,100.23,60.46,31.08,68.76,1469.02,80.62
2007-11-29 00:00:00,33.97,184.29,32.4,100.35,60.51,30.98,68.2,1469.72,81.24
2007-11-30 00:00:00,33.8,182.22,32.53,98.18,59.93,30.99,68.78,1481.14,81.76
2007-12-03 00:00:00,32.98,178.86,31.38,98.79,59.9,30.36,68.24,1472.42,81.48
2007-12-04 00:00:00,32.76,179.81,30.8,99.54,60.1,30.23,68.3,1462.79,80.81
2007-12-05 00:00:00,33.09,185.5,31.19,100.97,60.34,31.5,68.3,1485.01,82.46
2007-12-06 00:00:00,33.32,189.95,31.66,102.4,60.42,31.87,68.98,1507.34,83.85
2007-12-07 00:00:00,34.3,194.3,31.63,101.62,59.87,31.85,68.95,1504.66,83.91
2007-12-10 00:00:00,35.17,194.21,31.78,102.11,59.97,32.06,69.2,1515.96,84.39
2007-12-11 00:00:00,33.58,188.54,31.46,99.87,59.76,31.45,68.49,1477.65,82.79
2007-12-12 00:00:00,34.27,190.86,31.65,101.25,59.89,31.79,69.93,1486.59,84.29
2007-12-13 00:00:00,33.76,191.83,31.93,100.98,60.04,32.49,70.47,1488.41,85.03
2007-12-14 00:00:00,32.7,190.39,31.36,98.73,59.79,32.57,70.26,1467.95,83.61
2007-12-17 00:00:00,31.5,184.4,30.99,97.58,59.76,31.72,69.28,1445.9,82.43
2007-12-18 00:00:00,31.97,182.98,31.27,99.24,59.9,32.04,68.97,1454.98,83.83
2007-12-19 00:00:00,32.05,183.12,31.07,100.01,59.55,32.09,68.76,1453.0,83.84
2007-12-20 00:00:00,32.89,187.21,31.29,101.6,59.56,32.76,68.5,1460.12,84.48
2007-12-21 00:00:00,33.78,193.91,31.82,103.66,60.18,33.26,69.27,1484.46,85.68
2007-12-24 00:00:00,34.39,198.8,32.16,104.22,60.04,33.74,69.59,1496.45,85.89
2007-12-26 00:00:00,34.76,198.95,32.18,104.14,59.77,33.77,69.2,1497.66,86.94
2007-12-27 00:00:00,34.37,198.57,31.87,102.31,59.56,33.18,68.68,1476.27,85.9
2007-12-28 00:00:00,34.25,199.83,32.0,102.77,59.61,33.32,68.98,1478.49,87.12
2007-12-31 00:00:00,33.97,198.08,31.76,100.91,59.01,32.84,67.97,1468.36,85.91
2008-01-02 00:00:00,33.58,194.84,31.5,97.73,58.31,32.49,67.42,1447.16,85.75
2008-01-03 00:00:00,33.63,194.93,31.53,97.92,58.32,32.62,67.86,1447.16,86.04
2008-01-04 00:00:00,32.4,180.05,30.88,94.4,58.24,31.71,67.65,1411.63,84.44
2008-01-07 00:00:00,30.77,177.64,31.0,93.39,59.15,31.92,69.24,1416.18,83.65
2008-01-08 00:00:00,28.81,171.25,30.33,91.1,59.22,30.85,69.79,1390.19,82.58
2008-01-09 00:00:00,29.04,179.4,30.68,91.77,59.98,31.77,70.51,1409.13,83.96
2008-01-10 00:00:00,29.22,178.02,30.78,93.27,60.08,31.67,71.25,1420.33,84.05
2008-01-11 00:00:00,29.49,172.69,30.14,91.17,60.05,31.28,69.65,1401.02,82.81
2008-01-14 00:00:00,30.57,178.78,30.39,96.08,60.11,31.72,68.88,1416.25,83.29
2008-01-15 00:00:00,28.98,169.04,29.59,95.06,59.94,31.36,67.01,1380.95,81.63
2008-01-16 00:00:00,28.46,159.64,29.61,94.87,60.43,30.65,65.85,1373.2,79.35
2008-01-17 00:00:00,26.75,160.89,28.46,94.37,60.0,30.54,64.56,1333.25,76.95
2008-01-18 00:00:00,27.04,161.36,29.4,96.52,58.64,30.45,63.99,1325.19,78.02
2008-01-22 00:00:00,26.75,155.64,29.18,94.49,57.74,29.48,62.18,1310.5,75.61
2008-01-23 00:00:00,27.13,139.07,29.64,99.04,56.79,29.45,63.13,1338.6,76.52
2008-01-24 00:00:00,28.63,135.6,29.69,99.8,56.18,30.67,62.44,1352.07,78.86
2008-01-25 00:00:00,28.52,130.01,29.13,97.57,55.25,30.38,61.72,1330.61,76.97
2008-01-28 00:00:00,29.24,130.01,29.75,98.0,55.79,30.18,62.93,1353.96,78.07
2008-01-29 00:00:00,30.35,131.54,29.79,99.04,55.71,30.07,61.46,1362.3,78.02
2008-01-30 00:00:00,30.39,132.18,29.94,98.62,55.01,29.7,60.35,1355.81,78.2
2008-01-31 00:00:00,30.75,135.36,30.3,99.99,55.86,30.07,60.94,1378.55,78.59
2008-02-01 00:00:00,31.86,133.75,30.99,101.82,56.05,28.09,61.64,1395.42,78.82
2008-02-04 00:00:00,31.67,131.65,30.31,100.75,56.15,27.85,61.99,1380.82,78.35
2008-02-05 00:00:00,30.36,129.36,29.31,98.03,55.62,26.81,60.85,1336.64,75.3
2008-02-06 00:00:00,30.28,122.0,29.31,97.07,55.78,26.31,59.76,1326.45,74.68
2008-02-07 00:00:00,30.62,121.24,29.33,95.9,55.56,25.94,63.05,1336.91,75.42
2008-02-08 00:00:00,31.54,125.48,29.0,96.77,54.87,26.34,62.51,1331.29,75.25
2008-02-11 00:00:00,31.82,129.45,29.14,98.52,54.74,26.02,63.54,1339.13,76.64
2008-02-12 00:00:00,31.28,124.86,29.45,99.82,55.71,26.14,64.44,1348.86,77.71
2008-02-13 00:00:00,33.17,129.4,29.97,101.59,56.09,26.71,64.14,1367.21,78.73
2008-02-14 00:00:00,33.03,127.46,29.47,99.45,55.55,26.29,64.09,1348.86,78.79
2008-02-15 00:00:00,33.37,124.63,29.45,99.48,55.64,26.21,64.23,1349.99,78.62
2008-02-19 00:00:00,33.82,122.18,29.37,98.39,56.32,26.08,63.7,1348.78,80.13
2008-02-20 00:00:00,34.4,123.82,29.44,101.06,55.94,26.13,63.69,1360.03,81.14
2008-02-21 00:00:00,33.91,121.54,29.13,100.2,55.71,26.02,63.65,1342.53,80.05
2008-02-22 00:00:00,34.14,119.46,29.01,101.27,56.26,25.63,63.92,1353.11,80.28
2008-02-25 00:00:00,36.29,119.74,29.58,103.15,56.86,25.78,64.11,1371.8,82.09
2008-02-26 00:00:00,35.96,119.15,29.35,107.18,56.74,26.28,63.87,1381.29,82.79
2008-02-27 00:00:00,36.45,122.96,29.42,109.13,56.14,26.17,63.76,1380.02,82.33
2008-02-28 00:00:00,36.54,129.91,29.27,107.99,55.84,25.86,63.63,1367.68,82.32
2008-02-29 00:00:00,34.69,125.02,28.66,106.69,55.18,25.19,62.29,1330.63,80.13
2008-03-03 00:00:00,35.8,121.73,28.88,107.04,55.42,24.99,62.84,1331.34,80.82
2008-03-04 00:00:00,35.5,124.62,28.98,108.43,55.78,25.55,62.72,1326.75,79.84
2008-03-05 00:00:00,36.16,124.49,29.11,108.13,56.22,26.04,63.27,1333.7,80.3
2008-03-06 00:00:00,35.84,120.93,28.41,105.44,55.77,25.53,63.13,1304.34,77.83
2008-03-07 00:00:00,34.19,122.25,27.87,106.77,54.77,25.81,62.65,1293.37,75.97
2008-03-10 00:00:00,33.29,119.69,27.41,106.83,54.61,25.97,62.14,1273.37,75.94
2008-03-11 00:00:00,35.27,127.35,28.88,109.16,55.6,27.11,62.98,1320.65,79.83
2008-03-12 00:00:00,35.3,126.03,29.36,109.7,55.7,26.51,62.63,1308.77,79.18
2008-03-13 00:00:00,35.94,127.94,29.62,108.61,55.93,26.5,62.34,1315.48,80.17
2008-03-14 00:00:00,35.86,126.61,29.24,107.98,55.79,25.89,61.63,1288.14,79.12
2008-03-17 00:00:00,34.66,126.73,29.68,108.28,57.03,26.2,62.26,1276.6,79.01
2008-03-18 00:00:00,36.06,132.82,31.25,110.96,58.16,27.24,63.04,1330.74,81.48
2008-03-19 00:00:00,33.27,129.67,30.77,109.58,57.78,26.5,63.18,1298.42,77.76
2008-03-20 00:00:00,32.4,133.27,32.42,110.88,58.22,27.02,64.09,1329.51,78.28
2008-03-24 00:00:00,32.73,139.53,32.34,111.57,57.78,27.01,64.33,1349.88,79.16
2008-03-25 00:00:00,33.39,140.98,32.23,110.54,57.48,26.98,64.41,1352.99,78.47
2008-03-26 00:00:00,33.66,145.06,32.11,109.55,57.62,26.45,64.07,1341.13,79.44
2008-03-27 00:00:00,33.05,140.25,31.85,108.25,57.54,25.97,64.09,1325.76,79.39
2008-03-28 00:00:00,33.73,143.01,31.66,107.36,57.15,25.84,64.43,1315.22,78.49
2008-03-31 00:00:00,33.69,143.5,32.0,107.89,57.77,26.28,65.0,1322.7,77.9
2008-04-01 00:00:00,34.13,149.53,33.23,109.16,58.66,27.32,64.94,1370.18,80.14
2008-04-02 00:00:00,34.03,147.49,32.88,107.58,58.16,27.0,64.3,1367.53,81.52
2008-04-03 00:00:00,36.0,151.61,32.72,108.72,58.12,26.85,64.28,1369.31,81.26
2008-04-04 00:00:00,36.43,153.08,32.48,108.47,58.53,27.0,64.4,1370.4,81.73
2008-04-07 00:00:00,34.97,155.89,32.22,108.99,58.9,27.0,64.7,1372.54,81.89
2008-04-08 00:00:00,34.73,152.84,31.95,108.95,59.06,26.62,64.17,1365.54,82.53
2008-04-09 00:00:00,34.41,151.44,31.51,109.42,59.03,26.75,63.89,1354.49,82.61
2008-04-10 00:00:00,33.73,154.55,31.78,111.3,59.07,26.95,64.55,1360.55,82.47
2008-04-11 00:00:00,32.84,147.14,27.71,108.7,58.77,26.19,64.28,1332.83,81.62
2008-04-14 00:00:00,31.7,147.78,27.45,109.9,58.54,25.98,63.88,1328.32,82.61
2008-04-15 00:00:00,32.55,148.38,27.65,109.79,58.46,26.16,64.12,1334.43,83.62
2008-04-16 00:00:00,33.6,153.7,27.87,112.89,58.51,26.81,64.02,1364.71,85.55
2008-04-17 00:00:00,33.23,154.49,27.69,115.33,58.56,27.06,63.71,1365.56,86.0
2008-04-18 00:00:00,33.87,161.04,28.27,116.57,59.23,27.78,63.56,1390.33,86.57
2008-04-21 00:00:00,33.86,168.16,28.07,116.52,59.06,28.17,62.93,1388.17,86.81
2008-04-22 00:00:00,33.35,160.2,27.96,115.88,59.65,28.01,62.21,1375.94,86.93
2008-04-23 00:00:00,33.0,162.89,27.98,115.82,59.9,29.12,62.29,1379.93,86.77
2008-04-24 00:00:00,32.56,168.94,28.37,116.37,59.99,29.45,61.22,1388.82,85.28
2008-04-25 00:00:00,33.37,169.73,28.82,115.33,59.94,27.62,60.88,1397.84,85.15
2008-04-28 00:00:00,33.39,172.24,28.68,114.03,59.95,26.84,61.36,1396.37,85.14
2008-04-29 00:00:00,32.37,175.05,28.38,115.12,59.83,26.52,61.4,1390.94,84.54
2008-04-30 00:00:00,32.65,173.95,28.28,113.1,59.74,26.41,61.7,1385.59,85.71
2008-05-01 00:00:00,32.59,180.0,28.64,115.83,60.38,27.22,61.67,1409.34,82.61
2008-05-02 00:00:00,33.9,180.94,28.83,115.43,60.79,27.08,62.21,1413.9,82.53
2008-05-05 00:00:00,34.63,184.73,28.69,114.35,60.46,26.93,61.73,1407.49,82.44
2008-05-06 00:00:00,35.67,186.66,28.53,115.09,60.18,27.5,61.73,1418.26,82.95
2008-05-07 00:00:00,35.76,182.59,28.16,116.8,59.58,27.05,61.23,1392.57,81.8
2008-05-08 00:00:00,37.22,185.06,28.18,117.53,59.57,27.1,60.81,1397.68,82.82
2008-05-09 00:00:00,36.65,183.45,27.9,116.73,59.26,27.21,60.78,1388.28,82.17
2008-05-12 00:00:00,39.06,188.16,28.02,117.84,59.41,27.77,60.64,1403.58,82.51
2008-05-13 00:00:00,39.54,189.96,27.96,119.1,59.14,27.68,60.55,1403.04,82.96
2008-05-14 00:00:00,39.43,186.26,28.11,119.98,59.49,27.82,60.41,1408.66,83.17
2008-05-15 00:00:00,40.12,189.73,27.99,120.87,59.38,28.3,61.28,1423.57,84.46
2008-05-16 00:00:00,40.51,187.62,27.78,120.26,59.38,27.87,61.1,1425.35,85.73
2008-05-19 00:00:00,41.86,183.6,28.02,119.01,59.33,27.38,61.25,1426.63,87.29
2008-05-20 00:00:00,40.58,185.9,27.43,117.78,58.91,26.73,60.73,1413.4,87.48
2008-05-21 00:00:00,39.15,178.19,26.8,116.31,58.53,26.25,60.56,1390.71,86.65
2008-05-22 00:00:00,38.3,177.05,26.81,117.33,58.66,26.46,61.56,1394.35,85.58
2008-05-23 00:00:00,37.79,181.17,26.31,116.86,58.22,26.07,61.45,1375.93,83.91
2008-05-27 00:00:00,37.91,186.43,26.29,119.79,58.42,26.43,62.13,1385.35,83.07
2008-05-28 00:00:00,39.02,187.01,26.42,121.88,58.18,26.19,61.16,1390.84,83.66
2008-05-29 00:00:00,37.87,186.69,26.49,122.04,59.56,26.31,61.97,1398.26,82.66
2008-05-30 00:00:00,38.1,188.75,26.56,121.78,59.85,26.32,61.49,1400.38,82.11
2008-06-02 00:00:00,38.14,186.1,26.3,119.83,59.64,25.84,60.82,1385.67,81.23
2008-06-03 00:00:00,37.17,185.37,26.34,120.28,59.87,25.38,60.37,1377.65,79.29
2008-06-04 00:00:00,36.52,185.19,26.33,120.01,59.68,25.59,60.41,1377.2,79.33
2008-06-05 00:00:00,37.63,189.43,26.86,120.87,60.05,26.3,60.97,1404.05,82.62
2008-06-06 00:00:00,36.82,185.64,25.96,117.55,58.97,25.55,59.36,1360.68,80.29
2008-06-09 00:00:00,39.59,181.61,25.99,118.42,58.86,25.75,59.23,1361.76,82.4
2008-06-10 00:00:00,40.1,185.64,26.23,118.49,58.85,25.92,61.23,1358.44,81.31
2008-06-11 00:00:00,36.91,180.81,25.79,115.96,58.47,25.2,61.15,1335.49,81.97
2008-06-12 00:00:00,35.43,173.26,25.12,116.53,58.91,26.25,61.57,1339.87,80.54
2008-06-13 00:00:00,37.04,172.37,25.21,118.69,59.43,27.02,61.19,1360.03,81.74
2008-06-16 00:00:00,37.27,176.84,25.05,119.22,59.04,26.89,59.84,1360.14,81.4
2008-06-17 00:00:00,37.03,181.43,24.95,117.7,58.82,26.77,59.68,1350.93,81.98
2008-06-18 00:00:00,36.71,178.75,24.39,116.82,57.79,26.45,58.95,1337.81,81.25
2008-06-19 00:00:00,36.72,180.9,24.4,117.63,57.95,26.89,59.7,1342.83,79.36
2008-06-20 00:00:00,35.05,175.27,23.94,115.48,57.45,26.24,58.97,1317.93,78.55
2008-06-23 00:00:00,35.4,173.16,23.96,116.16,57.65,25.99,58.56,1318.0,81.13
2008-06-24 00:00:00,34.63,173.25,24.12,116.16,58.04,25.77,58.01,1314.29,80.41
2008-06-25 00:00:00,34.68,177.39,24.47,117.21,58.54,26.35,59.36,1321.97,81.04
2008-06-26 00:00:00,33.14,168.26,23.2,113.97,57.63,25.79,58.68,1283.15,79.94
2008-06-27 00:00:00,33.21,170.09,22.96,112.95,57.01,25.68,57.92,1278.38,80.07
2008-06-30 00:00:00,33.44,167.44,23.33,111.52,57.7,25.57,57.62,1280.0,81.53
2008-07-01 00:00:00,32.33,174.68,23.71,112.22,58.01,24.97,58.35,1284.91,81.73
2008-07-02 00:00:00,30.14,168.18,23.18,112.06,57.97,24.05,59.58,1261.52,80.86
2008-07-03 00:00:00,30.77,170.12,23.53,112.47,58.4,24.15,60.5,1262.9,81.66
2008-07-07 00:00:00,31.35,175.16,23.69,114.32,58.51,24.19,60.36,1252.31,80.44
2008-07-08 00:00:00,30.35,179.55,24.53,116.56,59.38,24.02,59.65,1273.7,79.5
2008-07-09 00:00:00,29.61,174.25,23.77,113.28,59.35,23.45,59.21,1244.69,77.99
2008-07-10 00:00:00,32.48,176.63,24.17,115.9,60.03,23.65,59.43,1253.39,79.61
2008-07-11 00:00:00,32.52,172.58,24.18,114.9,59.42,23.47,58.58,1239.49,79.08
2008-07-14 00:00:00,32.8,173.88,23.76,114.35,59.55,23.37,58.81,1228.3,79.02
2008-07-15 00:00:00,32.4,169.64,23.3,115.92,60.71,24.3,59.41,1214.91,76.03
2008-07-16 00:00:00,32.65,172.81,24.2,118.49,61.15,25.33,59.88,1245.36,74.76
2008-07-17 00:00:00,31.67,171.81,24.48,119.04,60.83,25.58,59.37,1260.32,74.31
2008-07-18 00:00:00,31.74,165.15,24.48,122.21,60.82,24.03,59.26,1260.68,75.43
2008-07-21 00:00:00,31.88,166.29,24.21,121.05,60.18,23.83,58.39,1260.0,76.76
2008-07-22 00:00:00,31.81,162.02,24.92,122.31,60.97,23.98,59.97,1277.0,76.65
2008-07-23 00:00:00,30.73,166.26,25.64,121.86,61.22,24.56,61.36,1282.19,74.92
2008-07-24 00:00:00,29.36,159.03,25.1,122.31,61.57,23.64,61.07,1252.54,74.75
2008-07-25 00:00:00,29.86,162.12,25.1,120.93,61.9,24.31,60.9,1257.76,75.58
2008-07-28 00:00:00,30.66,154.4,24.21,118.79,61.41,23.7,60.44,1234.37,74.64
2008-07-29 00:00:00,31.32,157.08,24.83,120.11,61.41,24.27,60.69,1263.2,74.84
2008-07-30 00:00:00,32.71,159.88,25.33,121.24,61.05,24.38,60.62,1284.26,78.06
2008-07-31 00:00:00,31.68,158.95,24.73,120.41,61.4,23.9,60.31,1267.38,74.4
2008-08-01 00:00:00,30.17,156.66,24.66,119.15,61.07,23.64,60.37,1260.31,73.75
2008-08-04 00:00:00,29.14,153.23,24.63,120.02,61.86,23.49,61.31,1249.01,70.86
2008-08-05 00:00:00,29.88,160.64,25.57,121.25,63.18,24.36,62.08,1284.88,72.48
2008-08-06 00:00:00,30.36,164.19,25.35,122.0,63.73,25.11,62.1,1289.19,72.46
2008-08-07 00:00:00,30.01,163.57,24.98,121.89,63.36,25.46,61.57,1266.07,71.64
2008-08-08 00:00:00,29.98,169.55,25.91,121.67,64.16,26.14,62.83,1296.32,72.82
2008-08-11 00:00:00,29.47,173.56,26.19,119.58,64.26,25.93,62.76,1305.32,72.67
2008-08-12 00:00:00,29.22,176.73,26.0,118.28,64.3,26.13,63.08,1289.59,71.48
2008-08-13 00:00:00,30.44,179.3,25.63,118.82,63.85,25.94,63.19,1285.83,72.68
2008-08-14 00:00:00,30.07,179.32,25.81,119.9,63.84,25.94,63.37,1292.93,72.01
2008-08-15 00:00:00,30.02,175.74,26.05,119.35,63.97,25.85,63.6,1298.2,71.66
2008-08-18 00:00:00,29.36,175.39,25.66,117.68,63.75,25.73,63.25,1278.6,71.16
2008-08-19 00:00:00,29.36,173.53,25.1,115.76,63.81,25.49,63.51,1266.69,72.48
2008-08-20 00:00:00,29.93,175.84,25.05,115.72,63.74,25.46,63.29,1274.54,73.28
2008-08-21 00:00:00,30.33,174.29,25.14,116.17,63.92,25.36,62.87,1277.72,74.71
2008-08-22 00:00:00,30.47,176.79,25.46,118.0,64.46,25.98,63.33,1292.2,74.66
2008-08-25 00:00:00,29.65,172.55,24.76,116.05,63.9,25.81,62.56,1266.84,73.19
2008-08-26 00:00:00,29.83,173.64,24.72,115.71,63.82,25.45,62.25,1271.51,74.34
2008-08-27 00:00:00,30.28,174.67,24.67,116.54,64.27,25.72,62.7,1281.66,74.82
2008-08-28 00:00:00,30.58,173.74,25.21,117.67,64.45,26.07,62.69,1300.68,75.48
2008-08-29 00:00:00,30.32,169.53,24.57,114.98,63.57,25.46,62.05,1282.83,74.39
2008-09-02 00:00:00,28.75,166.19,24.94,111.84,64.74,25.29,62.93,1277.58,71.89
2008-09-03 00:00:00,28.13,166.96,24.98,111.78,64.55,25.1,63.08,1274.98,72.54
2008-09-04 00:00:00,26.95,161.22,24.22,108.62,63.59,24.59,62.35,1236.83,70.8
2008-09-05 00:00:00,26.71,160.18,24.38,107.99,63.79,23.93,62.83,1242.31,70.31
2008-09-08 00:00:00,25.99,157.92,25.43,110.79,65.19,24.37,64.12,1267.79,71.38
2008-09-09 00:00:00,25.31,151.68,24.59,108.66,64.39,24.35,64.73,1224.51,68.12
2008-09-10 00:00:00,25.66,151.61,24.56,111.49,64.29,24.67,65.48,1232.04,69.97
2008-09-11 00:00:00,26.07,152.65,24.62,112.59,64.23,25.51,66.2,1249.05,70.26
2008-09-12 00:00:00,27.06,148.94,23.39,112.37,63.71,25.77,66.69,1251.7,72.06
2008-09-15 00:00:00,25.42,140.36,21.51,108.8,62.83,25.03,65.96,1192.7,68.11
2008-09-16 00:00:00,25.01,139.88,21.91,109.61,63.0,24.25,66.53,1213.6,71.07
2008-09-17 00:00:00,23.76,127.83,20.45,105.29,62.74,22.93,65.35,1156.39,70.0
2008-09-18 00:00:00,24.42,134.09,21.96,108.74,64.02,23.57,66.76,1206.51,72.29
2008-09-19 00:00:00,25.28,140.91,23.59,112.26,63.17,23.48,66.72,1255.08,74.02
2008-09-22 00:00:00,25.29,131.05,23.17,109.77,61.75,23.7,64.8,1207.09,73.34
2008-09-23 00:00:00,24.15,126.84,22.11,108.96,61.51,23.74,64.5,1188.22,72.24
2008-09-24 00:00:00,24.18,128.71,21.79,110.0,61.55,24.0,63.9,1185.87,72.55
2008-09-25 00:00:00,23.52,131.93,22.75,113.45,62.6,24.83,65.0,1209.18,75.01
2008-09-26 00:00:00,22.22,128.24,22.37,112.8,62.64,25.57,65.37,1213.27,74.99
2008-09-29 00:00:00,20.18,105.26,20.47,108.11,60.38,23.34,63.5,1106.42,68.86
2008-09-30 00:00:00,21.31,113.66,22.59,110.47,62.53,24.9,64.97,1166.36,72.21
2008-10-01 00:00:00,20.07,109.12,21.71,104.02,61.19,24.71,65.31,1161.06,73.06
2008-10-02 00:00:00,18.29,100.1,19.63,98.93,61.19,24.49,64.64,1114.28,72.06
2008-10-03 00:00:00,18.16,97.07,19.11,97.7,59.72,24.56,62.9,1099.23,72.47
2008-10-06 00:00:00,17.09,98.14,18.94,95.04,58.22,23.24,60.75,1056.89,71.89
2008-10-07 00:00:00,15.77,89.16,17.99,90.35,56.4,21.68,59.36,996.23,70.73
2008-10-08 00:00:00,13.88,89.79,18.3,85.53,56.29,21.47,57.99,984.94,71.6
2008-10-09 00:00:00,11.76,88.74,16.84,84.06,51.97,20.81,54.26,909.92,63.23
2008-10-10 00:00:00,10.62,96.8,19.05,82.88,50.41,20.06,52.69,899.22,57.98
2008-10-13 00:00:00,13.04,110.26,18.61,87.1,56.58,23.79,56.31,1003.35,67.95
2008-10-14 00:00:00,12.26,104.08,18.47,88.41,57.77,22.49,49.59,998.01,67.37
2008-10-15 00:00:00,10.69,97.95,17.06,83.39,54.64,21.14,46.72,907.84,57.97
2008-10-16 00:00:00,11.52,101.89,17.62,86.44,57.32,22.57,48.39,946.43,64.58
2008-10-17 00:00:00,11.14,97.4,17.39,85.75,56.55,22.33,49.12,940.55,63.26
2008-10-20 00:00:00,11.71,98.44,17.84,87.38,58.16,23.07,51.74,985.4,69.73
2008-10-21 00:00:00,11.47,91.49,18.03,83.93,57.46,21.8,50.14,955.05,66.48
